X	Y	occurrencedate	premisetype	occurrencedayofweek	occurrencehour	Division	Neighbourhood
-79.5263443	43.7611313	2016-04-28T04:00:00.000Z	Outside	Thursday  	0	D31	Black Creek (24)
-79.5261154	43.7189064	2016-04-11T04:00:00.000Z	Outside	Monday    	12	D31	Downsview-Roding-CFB (26)
-79.2671738	43.7510948	2016-02-02T05:00:00.000Z	Commercial	Tuesday   	10	D41	Dorset Park (126)
-79.4161148	43.6640701	2016-05-04T04:00:00.000Z	Outside	Wednesday 	12	D14	Annex (95)
-79.5873032	43.689518	2015-03-13T04:00:00.000Z	Outside	Friday    	19	D23	West Humber-Clairville (1)
-79.5525818	43.6863518	2015-03-22T04:00:00.000Z	House	Sunday    	22	D23	Kingsview Village-The Westway (6)
-79.5484695	43.6944733	2015-03-23T04:00:00.000Z	Other	Monday    	9	D23	Kingsview Village-The Westway (6)
-79.5910645	43.6768951	2015-04-01T04:00:00.000Z	Outside	Wednesday 	22	D23	West Humber-Clairville (1)
-79.6195297	43.7530403	2016-05-07T04:00:00.000Z	Outside	Saturday  	1	D23	West Humber-Clairville (1)
-79.3484955	43.6591949	2016-05-07T04:00:00.000Z	Outside	Saturday  	18	D55	South Riverdale (70)
-79.4783325	43.6481171	2016-05-06T04:00:00.000Z	Outside	Friday    	19	D11	High Park-Swansea (87)
-79.5981827	43.7352753	2016-05-10T04:00:00.000Z	House	Tuesday   	3	D23	West Humber-Clairville (1)
-79.4835663	43.6689949	2016-05-08T04:00:00.000Z	Apartment	Sunday    	21	D11	Junction Area (90)
-79.5423813	43.7520943	2016-05-09T04:00:00.000Z	Outside	Monday    	18	D31	Humber Summit (21)
-79.1733398	43.7957916	2014-09-03T04:00:00.000Z	House	Wednesday 	4	D43	Highland Creek (134)
-79.2110519	43.762867	2014-09-02T04:00:00.000Z	Outside	Tuesday   	16	D43	Woburn (137)
-79.4981537	43.6193962	2016-05-09T04:00:00.000Z	Commercial	Monday    	3	D22	Mimico (includes Humber Bay Shores) (17)
-79.411171	43.6846275	2016-05-10T04:00:00.000Z	Outside	Tuesday   	11	D53	Casa Loma (96)
